Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
72809,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18100/2024-2025/179860,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,03-Apr-25,Sarpanch Gram Panchayat   RAMPURI,Payment Success,400000
72810,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/166945,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,14-Feb-25,Sarpanch Gram Panchayat   BAMHANWADA,Payment Success,75000
72811,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/166942,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,14-Feb-25,Sarpanch Gram Panchayat   DHANORA,Payment Success,75000
72812,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18100/2025-2026/242591,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,24-Mar-26,Sarpanch Gram Panchayat   DHANORA,Payment Success,180000
72813,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18100/2025-2026/242591,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,03-Feb-26,Sarpanch Gram Panchayat   DHANORA,Payment Success,120000
72814,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/166947,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,14-Feb-25,Sarpanch Gram Panchayat   HIWARKHEDI,Payment Success,40000
72815,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/166943,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,25-May-26,Sarpanch Gram Panchayat   HIWARKHEDI,Payment Success,25000
72816,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/166948,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,24-Mar-26,Sarpanch Gram Panchayat   HIWARKHEDI,Payment Success,10000
72817,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/166947,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,24-Mar-26,Sarpanch Gram Panchayat   HIWARKHEDI,Payment Success,10000
72818,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/166948,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,13-Feb-25,Sarpanch Gram Panchayat   HIWARKHEDI,Payment Success,40000
72819,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/166943,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,14-Feb-25,Sarpanch Gram Panchayat   HIWARKHEDI,Payment Success,75000
72820,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/243951,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,14-May-26,Sarpanch Gram Panchayat   HIWARKHEDI,Payment Success,100000
72821,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2024-2025/166944,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,14-Feb-25,Sarpanch Gram Panchayat   KEOLARISAMBHA,Payment Success,75000
72822,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP380/2025-2026/247594,MALERKOTLA(Deputy Commissioner Malerkotla_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),26-Mar-26,Rattan Shuttering  Building Material Store,Payment Success,52920
72823,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP380/2025-2026/247594,MALERKOTLA(Deputy Commissioner Malerkotla_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),21-Apr-26,Rattan Shuttering  Building Material Store,Payment Success,10170
72824,Karnataka,Construction of buildings for sports facilities,WS/MP341/2025-2026/186201,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri LS Tejasvi Surya,BANGALORE SOUTH,24-Jun-25,SANTHOSH KUMAR SANGAPPA,Payment Success,499167
72825,Karnataka,Construction of buildings for sports facilities,WS/MP341/2025-2026/186199,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Shri LS Tejasvi Surya,BANGALORE SOUTH,24-Jun-25,SANTHOSH KUMAR SANGAPPA,Payment Success,499863
72826,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/187521,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,27-Jan-26,MAA PADMAWATI CONS,Payment Success,995053
72827,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/197863,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,22-Jan-26,MAA PADMAWATI CONS,Payment Success,994047
72828,Tamil Nadu,Street lights,WS/MP508/2025-2026/134708,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,27-Jun-25,T S SOLAR POWER SYSTEM,Payment Success,434956
72829,Tamil Nadu,Street lights,WS/MP508/2025-2026/134709,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,27-Jun-25,T S SOLAR POWER SYSTEM,Payment Success,434956
72830,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/202674,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,14-Nov-25,T S SOLAR POWER SYSTEM,Payment Success,434130
72831,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/195971,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,24-Jan-26,T S SOLAR POWER SYSTEM,Payment Success,432964
72832,Tamil Nadu,Street lights,WS/MP508/2025-2026/134707,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,03-Feb-26,T S SOLAR POWER SYSTEM,Payment Success,434102
72833,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/170871,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),15-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,734313
72834,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/170870,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),11-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,730787
72835,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/170869,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),15-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,735974
72836,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/182127,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),15-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,724989
72837,Tamil Nadu,Installing community drinking water plants,WS/MP743/2025-2026/230532,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),24-Mar-26,T S SOLAR POWER SYSTEM,Payment Success,1484419
72838,Tamil Nadu,Installing community drinking water plants,WS/MP743/2025-2026/230531,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),24-Mar-26,T S SOLAR POWER SYSTEM,Payment Success,1480236
72839,Tamil Nadu,Installing community drinking water plants,WS/MP743/2025-2026/230533,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),24-Mar-26,T S SOLAR POWER SYSTEM,Payment Success,1500000
72840,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/225070,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,12-Dec-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72841,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/196042,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,10-Jul-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72842,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/229852,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,07-Jan-26,T S SOLAR POWER SYSTEM,Payment Success,435000
72843,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/229851,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,07-Jan-26,T S SOLAR POWER SYSTEM,Payment Success,435000
72844,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/229850,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,07-Jan-26,T S SOLAR POWER SYSTEM,Payment Success,435000
72845,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/201458,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,26-Aug-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72846,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/201459,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,26-Aug-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72847,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/201457,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,26-Aug-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72848,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/201455,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,26-Aug-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72849,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/201456,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,26-Aug-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72850,Tamil Nadu,Street lights,WS/MP508/2024-2025/134688,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,12-Feb-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72851,Tamil Nadu,Street lights,WS/MP508/2024-2025/134689,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,12-Feb-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72852,Tamil Nadu,Street lights,WS/MP508/2024-2025/134687,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,12-Feb-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72853,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/196038,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,28-Jul-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72854,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/196039,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,28-Jul-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72855,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/225069,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,26-Aug-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72856,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/225068,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,26-Aug-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72857,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/196041,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,30-Jun-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72858,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/196040,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,30-Jun-25,T S SOLAR POWER SYSTEM,Payment Success,435000
72859,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190842,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),02-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72860,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190851,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),02-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72861,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190848,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),02-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72862,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/190864,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),27-Nov-25,T S SOLAR POWER SYSTEM,Payment Success,749791
72863,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/190868,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Dec-25,T S SOLAR POWER SYSTEM,Payment Success,741507
72864,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/220667,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),06-Mar-26,T S SOLAR POWER SYSTEM,Payment Success,749325
72865,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/220668,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),06-Mar-26,T S SOLAR POWER SYSTEM,Payment Success,749325
72866,Tamil Nadu,Installing community drinking water plants,WS/MP743/2026-2027/230540,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),23-Jun-26,T S SOLAR POWER SYSTEM,Payment Success,1495280
72867,Tamil Nadu,Lighting of public spaces,WS/MP743/2026-2027/230543,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),23-Jun-26,T S SOLAR POWER SYSTEM,Payment Success,749894
72868,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/190872,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),18-Nov-25,T S SOLAR POWER SYSTEM,Payment Success,749817
72869,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/190871,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),18-Nov-25,T S SOLAR POWER SYSTEM,Payment Success,749817
72870,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/190870,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),18-Nov-25,T S SOLAR POWER SYSTEM,Payment Success,749817
72871,Tamil Nadu,Purchase of furniture and fixtures for educational purposes,WS/MP743/2026-2027/256386,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),09-Jul-26,T S SOLAR POWER SYSTEM,Payment Success,250000
72872,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190845,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72873,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190828,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72874,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190830,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72875,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190834,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72876,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190831,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72877,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190829,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72878,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190849,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72879,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190846,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72880,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190850,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72881,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190837,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72882,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190839,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72883,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190838,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72884,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190835,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72885,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190833,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72886,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190843,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72887,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190844,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72888,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190841,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),04-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72889,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP743/2025-2026/190836,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),08-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,400000
72890,Tamil Nadu,Street lights,WS/MP508/2024-2025/137468,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,23-Apr-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72891,Tamil Nadu,Street lights,WS/MP508/2024-2025/137471,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,23-Apr-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72892,Tamil Nadu,Street lights,WS/MP508/2024-2025/137469,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,23-Apr-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72893,Tamil Nadu,Street lights,WS/MP508/2024-2025/137470,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,23-Apr-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72894,Tamil Nadu,Street lights,WS/MP508/2024-2025/137473,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,23-Apr-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72895,Tamil Nadu,Street lights,WS/MP508/2024-2025/137472,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,23-Apr-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72896,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/246901,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,04-Mar-26,T S SOLAR POWER SYSTEM,Payment Success,1000000
72897,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/202677,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,28-Nov-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72898,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/225083,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,28-Nov-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72899,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/202679,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,28-Nov-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72900,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/225087,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,28-Nov-25,T S SOLAR POWER SYSTEM,Payment Success,1000000
72901,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/202678,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,10-Feb-26,T S SOLAR POWER SYSTEM,Payment Success,1000000
72902,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/225085,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,10-Feb-26,T S SOLAR POWER SYSTEM,Payment Success,1000000
72903,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/246899,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,11-May-26,T S SOLAR POWER SYSTEM,Payment Success,435000
72904,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/246900,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,11-May-26,T S SOLAR POWER SYSTEM,Payment Success,435000
72905,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/246903,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,04-Mar-26,T S SOLAR POWER SYSTEM,Payment Success,1000000
72906,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/246902,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,04-Mar-26,T S SOLAR POWER SYSTEM,Payment Success,1000000
72907,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/176406,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,23-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,1799693
72908,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/176405,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,22-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,1799543
72909,Tamil Nadu,Lighting of public spaces,WS/MP508/2026-2027/229856,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,31-Jul-26,T S SOLAR POWER SYSTEM,Payment Success,799337
72910,Tamil Nadu,Lighting of public spaces,WS/MP508/2026-2027/201464,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,TIRUVANNAMALAI,23-Jul-26,T S SOLAR POWER SYSTEM,Payment Success,699568
72911,Tamil Nadu,Lighting of public spaces,WS/MP743/2025-2026/170879,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),11-Sep-25,T S SOLAR POWER SYSTEM,Payment Success,714773
72912,Tamil Nadu,Installing community drinking water plants,WS/MP743/2026-2027/230539,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),20-Aug-26,T S SOLAR POWER SYSTEM,Payment Success,1500000
72913,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/202671,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,09-Jan-26,T S SOLAR POWER SYSTEM,Payment Success,435000
72914,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/202672,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,09-Jan-26,T S SOLAR POWER SYSTEM,Payment Success,435000
72915,Tamil Nadu,Lighting of public spaces,WS/MP508/2025-2026/202673,Tirupathur(District Collector Tirupathur_IDA),CN Annadurai,TIRUVANNAMALAI,09-Jan-26,T S SOLAR POWER SYSTEM,Payment Success,435000
